extraction_date,extraction_timestamp,season,fantasy_team_id,fantasy_team_name,fantasy_team_abbrev,team_owner,player_name,player_id_espn,position,eligible_positions,pro_team,currently_rostered,injury_status,acquisition_type,season_avg_pts,season_total_pts,nine_cat_pts,nine_cat_blk,nine_cat_stl,nine_cat_ast,nine_cat_reb,nine_cat_to,nine_cat_3pm,nine_cat_fg%,nine_cat_ft%
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Shai Gilgeous-Alexander,4278073,PG,"PG,G,G/F,UT,BE,IR",OKC,True,ACTIVE,"D,R,A,F,T",0,0,28.0,1.5,2.0,3.5,4.0,2.5,0.5,0.472,0.808
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Donovan Mitchell,3908809,SG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",CLE,True,ACTIVE,"D,R,A,F,T",0,0,31.0,1.0,2.0,5.0,2.0,3.0,2.0,0.48,1.0
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Paolo Banchero,4432573,PF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",ORL,True,ACTIVE,"D,R,A,F,T",0,0,24.0,1.0,1.0,1.0,11.0,2.0,1.0,0.412,0.75
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Jalen Duren,4433621,C,"C,PF/C,F/C,UT,BE,IR",DET,True,ACTIVE,"D,R,A,F,T",0,0,15.0,2.0,1.0,1.0,6.0,1.0,0.0,0.583,0.5
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Darius Garland,4396907,PG,"PG,G,G/F,UT,BE,IR",CLE,True,OUT,"D,R,A,F,T",0,0,,,,,,,,,
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Anfernee Simons,4351851,SG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",BOS,True,ACTIVE,"D,R,A,F,T",0,0,13.0,1.0,1.0,1.0,4.0,0.0,2.0,0.5,1.0
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Donovan Clingan,5105565,C,"C,PF/C,F/C,UT,BE,IR",POR,True,ACTIVE,"D,R,A,F,T",0,0,8.0,1.0,2.0,1.0,6.0,1.0,2.0,0.6,0.0
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Kel'el Ware,5105623,C,"C,PF/C,F/C,UT,BE,IR",MIA,True,ACTIVE,"D,R,A,F,T",0,0,7.0,1.0,1.0,0.0,4.0,1.0,1.0,0.6,0.0
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Klay Thompson,6475,SG,"SG,SF,G,F,SG/SF,G/F,F/C,UT,BE,IR",DAL,True,ACTIVE,"D,R,A,F,T",0,0,10.0,0.0,0.0,1.0,2.0,1.0,1.0,0.308,1.0
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Tyus Jones,3135046,PG,"PG,G,G/F,UT,BE,IR",ORL,True,ACTIVE,"D,R,A,F,T",0,0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Quentin Grimes,4397014,SG,"SG,G,SG/SF,G/F,UT,BE,IR",PHL,True,ACTIVE,"D,R,A,F,T",0,0,10.0,0.0,0.0,5.0,5.0,5.0,2.0,0.375,0.5
2025-10-23,2025-10-23T18:15:29.974769,2026,5,Jay Stat,FEZ,,Jared McCain,4683778,SG,"SG,G,SG/SF,G/F,UT,BE,IR",PHL,True,OUT,"D,R,A,F,T",0,0,,,,,,,,,
2025-10-23,2025-10-23T18:15:29.974769,2026,6,Coolest Beans,win,,Victor Wembanyama,5104157,C,"C,PF/C,F/C,UT,BE,IR",SAS,True,ACTIVE,"D,R,A,F,T",0,0,40.0,3.0,1.0,1.0,15.0,0.0,1.0,0.714,0.818
2025-10-23,2025-10-23T18:15:29.974769,2026,6,Coolest Beans,win,,Pascal Siakam,3149673,PF,"PF,F,G/F,PF/C,F/C,UT,BE,IR",IND,True,ACTIVE,"D,R,A,F,T",0,0,17.0,0.0,1.0,2.0,7.0,0.0,1.0,0.6,0.571
2025-10-23,2025-10-23T18:15:29.974769,2026,6,Coolest Beans,win,,LeBron James,1966,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",LAL,True,OUT,"D,R,A,F,T",0,0,,,,,,,,,
2025-10-23,2025-10-23T18:15:29.974769,2026,6,Coolest Beans,win,,Zach LaVine,3064440,SG,"SG,SF,G,F,SG/SF,G/F,F/C,UT,BE,IR",SAC,True,ACTIVE,"D,R,A,F,T",0,0,30.0,0.0,0.0,1.0,2.0,2.0,2.0,0.542,0.667
2025-10-23,2025-10-23T18:15:29.974769,2026,6,Coolest Beans,win,,Miles Bridges,4066383,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",CHA,True,ACTIVE,"D,R,A,F,T",0,0,18.0,0.0,1.0,4.0,11.0,1.0,3.0,0.545,0.75
2025-10-23,2025-10-23T18:15:29.974769,2026,6,Coolest Beans,win,,Onyeka Okongwu,4431680,C,"C,PF/C,F/C,UT,BE,IR",ATL,True,ACTIVE,"D,R,A,F,T",0,0,18.0,0.0,0.0,1.0,6.0,0.0,1.0,0.667,1.0
2025-10-23,2025-10-23T18:15:29.974769,2026,6,Coolest Beans,win,,Keyonte George,4433627,PG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",UTA,True,ACTIVE,"D,R,A,F,T",0,0,16.0,0.0,2.0,9.0,2.0,3.0,1.0,0.5,0.75
2025-10-23,2025-10-23T18:15:29.974769,2026,6,Coolest Beans,win,,Draymond Green,6589,PF,"PF,C,F,G/F,PF/C,F/C,UT,BE,IR",GSW,True,ACTIVE,"D,R,A,F,T",0,0,8.0,2.0,1.0,9.0,7.0,4.0,1.0,0.5,0.333
2025-10-23,2025-10-23T18:15:29.974769,2026,6,Coolest Beans,win,,Egor Demin,5175643,PG,"PG,G,G/F,UT,BE,IR",BKN,True,ACTIVE,"D,R,A,F,T",0,0,14.0,0.0,1.0,2.0,5.0,2.0,4.0,0.667,1.0
2025-10-23,2025-10-23T18:15:29.974769,2026,6,Coolest Beans,win,,Russell Westbrook,3468,PG,"PG,G,G/F,UT,BE,IR",SAC,True,ACTIVE,"D,R,A,F,T",0,0,6.0,1.0,0.0,1.0,6.0,2.0,0.0,0.25,0.667
