sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,4,7,0,B,160,338,58,93,44,153,443,214,77,32,6,47,2,209,420,70,102,37,178,628,208,108,39,23,53,6
1,3,8,0,B,150,359,79,126,37,163,477,199,81,39,22,56,5,225,394,115,147,45,184,516,183,128,51,9,64,9
2,4,7,0,B,147,323,41,76,45,157,539,205,125,53,11,53,5,193,364,72,116,43,177,604,202,129,34,20,50,6
3,3,8,0,B,183,343,55,77,36,140,441,182,122,30,23,53,7,194,420,76,114,45,168,579,213,143,44,10,49,8
4,1,9,1,B,166,392,59,84,33,140,466,169,110,39,20,52,5,241,450,73,95,53,182,562,199,126,42,26,82,5
5,3,8,0,B,186,368,48,65,49,135,505,180,109,48,17,48,5,266,502,103,129,63,179,558,212,122,25,23,65,8
6,5,5,1,TIE,147,371,65,91,50,151,379,230,127,36,15,48,5,184,410,81,112,38,137,518,178,106,39,18,69,5
7,5,6,0,B,145,374,64,93,35,154,527,221,93,37,16,57,9,245,445,88,112,23,177,603,211,110,44,18,84,8
8,2,9,0,B,176,364,86,108,44,154,394,136,102,29,9,68,5,241,472,111,144,45,159,541,206,105,35,25,56,8
9,5,6,0,B,176,323,68,96,26,147,471,218,96,33,21,59,7,249,453,89,135,42,184,533,200,97,32,20,50,3
10,0,11,0,B,166,368,49,82,39,132,411,190,115,25,24,68,6,192,406,86,113,50,164,585,191,125,44,28,59,7
11,3,8,0,B,199,373,49,76,55,162,454,202,101,35,12,55,8,251,453,88,116,41,162,520,204,118,50,19,48,7
12,4,7,0,B,156,327,64,76,38,180,474,203,114,26,11,56,4,203,455,77,102,48,178,525,192,113,40,20,52,7
13,4,7,0,B,147,354,66,84,47,145,460,202,100,41,6,62,8,221,444,89,114,59,216,530,184,153,44,18,76,10
14,4,7,0,B,193,374,63,86,53,152,412,210,117,35,12,51,6,289,497,94,120,51,142,634,175,108,40,16,68,8
15,2,9,0,B,147,350,76,106,34,132,438,189,128,22,17,59,6,207,407,71,106,49,159,630,211,117,43,26,48,8
16,7,3,1,A,188,353,71,85,38,154,440,200,84,38,14,50,6,217,434,80,100,30,149,499,169,120,39,12,52,6
17,7,4,0,A,209,363,57,83,48,159,521,210,106,37,23,47,4,193,410,89,146,52,186,510,220,100,43,14,82,5
18,5,6,0,B,150,340,100,122,54,156,455,199,98,45,17,60,4,218,418,69,99,41,167,552,216,116,37,29,84,7
19,4,6,1,B,171,328,66,96,43,148,447,205,106,38,14,49,7,182,412,86,115,47,205,524,205,112,44,31,59,6
20,3,8,0,B,172,354,46,69,35,129,480,189,66,33,24,47,1,179,365,81,111,33,175,635,192,100,38,21,44,6
21,5,5,1,TIE,177,348,71,96,51,151,440,208,112,46,16,56,7,278,486,106,128,39,173,640,209,111,41,25,68,7
22,4,7,0,B,147,321,55,88,25,165,473,180,101,38,23,50,7,220,444,88,119,22,98,573,197,114,29,12,61,8
23,5,5,1,TIE,171,352,64,86,48,161,482,210,111,23,14,45,5,229,457,72,106,38,167,625,190,142,35,22,73,5
24,6,5,0,A,169,344,56,93,54,155,467,201,100,32,15,63,6,221,419,78,98,47,165,587,178,103,30,20,76,5
25,3,7,1,B,172,286,49,81,53,185,479,164,84,28,18,51,5,228,423,70,102,61,169,441,209,88,37,19,59,5
26,4,6,1,B,162,328,57,102,57,151,446,209,116,34,25,73,5,214,432,83,119,51,197,496,209,115,43,19,48,6
27,7,3,1,A,180,373,65,85,52,146,488,237,88,33,25,44,8,192,403,81,120,50,221,598,155,119,37,21,65,8
28,7,3,1,A,197,390,70,98,47,140,407,192,129,44,18,50,7,209,426,92,110,46,174,649,179,104,48,18,72,6
29,5,6,0,B,167,353,45,68,63,171,461,179,123,22,21,53,3,196,431,72,110,43,169,494,200,133,34,22,62,7
30,9,2,0,A,181,362,81,103,49,167,447,208,117,35,21,46,9,168,390,90,128,46,174,545,193,108,33,33,70,5
31,5,6,0,B,161,328,73,98,41,128,461,209,90,42,11,58,5,219,488,65,99,55,181,603,210,117,39,22,66,6
32,6,5,0,A,179,356,61,83,41,155,434,174,107,44,9,51,6,187,420,84,117,36,175,535,185,133,32,19,57,8
33,7,4,0,A,184,322,66,102,49,150,420,264,104,36,17,44,5,211,437,114,128,41,168,612,216,126,35,16,67,8
34,4,7,0,B,169,371,50,74,43,152,376,170,86,43,11,66,2,197,398,107,147,39,152,574,171,82,23,24,59,3
35,7,4,0,A,142,337,55,77,39,144,386,190,107,34,23,53,6,235,439,84,102,35,173,623,184,104,53,9,78,5
36,4,7,0,B,160,322,63,102,28,142,463,216,112,30,11,45,5,269,480,100,144,44,153,664,212,109,33,25,73,3
37,2,8,1,B,172,346,51,86,38,151,446,175,102,28,14,53,3,227,409,100,122,47,185,498,174,121,43,38,59,3
38,4,6,1,B,144,334,58,73,35,174,444,199,100,31,11,59,8,187,407,96,136,44,159,635,190,100,33,28,87,6
39,6,4,1,A,182,339,78,93,37,130,440,188,103,51,24,52,4,241,504,77,98,37,157,530,221,133,30,16,61,10
40,4,7,0,B,175,361,88,133,37,134,433,231,113,34,9,50,6,234,471,90,117,41,171,506,218,126,37,13,59,4
41,5,6,0,B,154,348,85,108,49,138,432,162,91,46,17,40,2,202,446,116,145,42,164,543,171,99,39,16,96,4
42,5,6,0,B,167,366,69,92,34,148,506,203,100,32,11,36,4,196,409,108,147,42,200,576,184,91,38,14,58,8
43,4,7,0,B,152,345,48,92,37,171,447,178,82,35,17,59,5,195,439,64,96,33,167,540,209,120,43,16,61,6
44,7,4,0,A,182,355,60,84,53,152,461,190,109,35,16,56,5,201,422,71,103,42,164,533,198,95,39,22,57,4
45,3,8,0,B,141,301,97,119,38,147,477,190,87,34,11,46,6,224,479,104,131,54,186,518,204,126,42,20,77,7
46,7,4,0,A,159,322,71,105,63,164,482,211,128,40,17,67,8,169,349,90,119,44,176,565,159,121,30,21,56,5
47,1,10,0,B,170,376,72,106,41,160,391,197,107,44,27,57,4,204,405,112,153,47,178,644,208,118,39,30,55,8
48,4,7,0,B,169,372,109,139,37,184,421,199,108,31,21,50,7,234,441,74,94,40,203,639,192,115,40,24,58,6
49,3,8,0,B,158,308,52,78,47,147,387,212,109,38,17,66,6,222,465,95,134,52,185,612,237,101,44,28,57,7
50,4,7,0,B,189,364,53,85,38,131,464,186,104,41,15,44,3,158,372,108,129,41,155,531,191,119,55,11,78,5
51,4,7,0,B,165,378,77,96,44,166,437,190,97,47,7,52,6,218,425,85,110,59,208,575,180,95,48,20,75,7
52,3,7,1,B,179,349,63,87,56,171,364,197,110,38,9,56,4,205,410,90,115,56,197,579,201,140,45,20,59,11
53,3,7,1,B,160,372,59,74,40,146,453,163,107,50,13,51,7,191,417,88,122,53,193,506,188,110,31,17,65,7
