sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,3,8,0,B,168,390,74,107,38,138,513,162,110,48,24,65,7,158,361,121,166,28,105,619,204,121,28,37,30,10
1,4,7,0,B,168,345,67,90,42,160,411,180,92,25,20,44,7,198,381,92,119,39,150,435,202,115,24,34,48,10
2,1,10,0,B,119,417,91,124,31,131,417,182,116,16,23,65,1,189,387,106,127,46,122,678,227,102,22,34,64,8
3,3,7,1,B,181,348,96,165,41,154,574,146,110,23,35,48,3,186,363,94,147,55,135,566,171,112,23,22,42,6
4,0,10,1,B,183,412,91,133,34,148,428,195,104,30,18,60,7,204,411,115,159,45,136,540,211,122,38,26,43,7
5,3,8,0,B,145,390,80,109,32,151,471,166,89,32,26,71,4,200,360,105,128,45,144,644,182,87,29,17,46,5
6,6,5,0,A,156,398,57,108,41,146,483,162,101,20,30,62,6,184,342,111,137,29,126,451,150,102,27,17,52,4
7,4,7,0,B,196,430,65,87,48,180,380,158,114,28,16,49,4,197,377,118,167,47,137,598,188,83,22,21,33,9
8,3,8,0,B,150,374,60,90,40,150,484,155,127,22,12,59,6,205,390,104,163,49,139,472,163,112,38,20,31,7
9,1,10,0,B,157,367,89,137,25,155,408,134,114,25,12,66,7,131,327,104,120,38,119,598,206,121,27,21,40,8
10,1,10,0,B,209,430,109,157,40,181,486,209,119,21,22,54,6,210,389,111,130,53,137,514,186,120,29,27,49,7
11,1,10,0,B,152,349,78,110,39,142,471,152,102,26,18,62,5,229,458,128,145,50,117,528,179,91,39,29,40,7
12,3,7,1,B,157,317,117,146,32,159,523,188,120,31,12,63,10,129,315,105,123,40,116,597,209,113,31,30,37,8
13,3,8,0,B,182,412,92,141,52,170,418,151,93,39,20,48,5,163,338,84,106,34,119,591,214,110,33,26,46,9
14,2,9,0,B,154,391,90,137,36,135,489,172,117,21,23,71,8,188,368,132,159,42,138,493,173,94,31,36,40,4
15,2,9,0,B,178,376,84,132,30,146,448,158,115,28,19,60,6,196,371,104,127,50,124,545,193,121,19,31,63,8
16,4,7,0,B,180,439,102,142,51,163,406,202,83,27,8,60,3,175,341,128,149,25,164,543,190,113,19,33,41,7
17,1,10,0,B,189,403,89,148,28,164,542,134,115,28,15,65,6,184,352,95,147,41,109,655,213,101,47,26,30,9
18,1,10,0,B,164,378,74,108,31,173,483,165,132,13,16,69,5,196,344,114,151,35,135,509,191,82,30,33,34,7
19,2,9,0,B,187,358,91,140,32,140,403,162,111,24,21,52,5,143,344,137,174,46,157,484,206,113,51,26,56,8
20,4,5,2,B,177,380,101,122,36,159,558,162,112,23,10,40,8,179,395,132,155,44,102,532,204,112,23,27,59,7
21,3,8,0,B,215,481,72,98,35,125,530,193,112,24,22,61,9,185,340,136,167,36,101,539,164,114,25,18,39,8
22,2,9,0,B,142,360,122,150,33,144,422,163,117,21,25,53,8,215,414,94,160,53,127,548,192,100,28,26,33,10
23,5,5,1,TIE,138,373,98,149,28,181,516,177,111,26,14,47,11,185,371,101,126,28,110,475,174,104,29,26,61,8
24,2,8,1,B,136,371,105,135,28,140,443,152,122,27,10,53,5,196,376,136,160,43,117,560,187,101,25,32,49,5
25,4,7,0,B,204,422,84,104,38,164,442,212,79,20,7,84,9,215,402,108,151,37,115,566,188,112,37,37,45,6
26,4,7,0,B,185,376,86,114,32,141,362,188,124,23,29,62,4,216,413,89,140,66,127,564,184,93,24,25,33,10
27,1,10,0,B,179,418,81,109,35,140,468,159,115,25,22,59,5,211,406,126,163,44,135,428,217,119,27,28,50,6
28,4,7,0,B,164,427,134,165,43,160,412,151,119,26,16,60,5,169,383,115,143,41,125,549,183,103,27,25,64,9
