sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,4,7,0,B,244,400,112,140,40,111,587,193,120,37,17,71,6,217,469,99,127,46,151,626,256,131,35,31,55,9
1,6,5,0,A,219,400,103,147,35,107,609,158,110,41,22,79,7,200,421,78,123,33,135,604,308,158,27,25,53,10
2,5,5,1,TIE,230,455,96,142,46,122,508,170,142,36,25,83,8,177,414,77,118,31,142,589,313,155,31,25,62,12
3,3,8,0,B,204,413,115,143,30,89,526,180,114,29,23,80,7,219,433,60,102,68,162,415,248,128,24,27,57,9
4,3,8,0,B,203,428,96,128,31,106,533,180,119,26,14,77,8,170,369,93,114,50,157,559,245,144,25,22,68,7
5,2,9,0,B,245,434,113,143,26,112,519,186,102,22,14,80,2,183,351,84,109,52,163,561,286,220,28,23,63,9
6,6,5,0,A,203,429,104,140,36,117,559,160,105,39,20,79,7,201,418,90,144,28,171,522,280,120,29,12,58,9
7,4,7,0,B,238,418,103,148,40,140,550,223,92,22,24,92,8,184,390,70,104,47,166,602,248,115,27,26,50,5
8,6,5,0,A,238,436,113,162,53,116,636,184,145,28,21,75,5,207,399,80,122,50,161,568,242,107,45,22,38,8
9,4,7,0,B,240,434,147,173,40,127,614,190,119,45,14,78,7,171,346,87,127,48,138,571,244,122,29,26,52,8
10,2,8,1,B,259,449,77,105,37,125,529,194,120,29,15,82,9,257,455,69,91,47,174,543,297,138,30,15,56,11
11,4,7,0,B,250,424,96,160,40,142,525,161,112,30,16,70,6,196,449,101,127,60,146,511,261,159,27,34,71,8
12,1,10,0,B,205,390,67,119,30,138,520,183,128,28,20,100,8,182,388,93,112,37,149,546,258,146,36,24,83,10
13,3,7,1,B,240,502,81,115,33,114,579,161,89,27,14,85,4,224,414,89,134,33,162,523,258,120,43,20,60,9
14,2,9,0,B,236,446,116,138,27,140,562,197,171,27,14,75,7,247,426,78,112,51,157,623,250,110,29,15,57,10
15,5,6,0,B,249,453,107,143,46,105,553,179,106,26,26,79,6,208,427,82,119,39,172,561,212,112,28,25,62,8
16,1,10,0,B,223,451,90,125,20,98,627,155,135,24,17,84,4,199,395,71,92,37,159,519,241,155,27,28,64,5
17,7,4,0,A,181,393,84,107,32,106,521,197,138,27,20,94,7,186,405,84,116,42,148,598,224,112,20,19,66,6
18,6,5,0,A,218,427,113,133,38,130,572,170,123,28,21,88,8,201,407,65,107,45,171,481,234,128,30,16,60,7
19,4,7,0,B,207,407,103,144,40,127,501,189,132,27,8,78,9,185,434,90,119,33,178,457,250,144,37,23,45,12
20,6,5,0,A,273,471,127,167,41,118,605,199,106,30,25,74,8,239,411,103,136,48,145,542,259,121,22,17,95,9
21,3,8,0,B,227,404,80,124,45,164,524,172,134,27,16,86,6,195,404,86,118,60,176,616,230,114,18,32,64,11
22,4,6,1,B,207,449,59,93,56,144,511,158,132,24,21,89,6,220,428,74,112,48,177,492,274,118,35,27,66,6
23,2,9,0,B,232,440,127,176,34,114,564,199,115,21,15,99,10,221,414,67,108,46,148,568,248,138,36,31,54,8
24,5,5,1,TIE,242,445,72,89,43,135,653,174,131,34,19,103,12,228,419,78,101,39,153,643,238,131,40,20,70,6
25,3,8,0,B,233,432,100,153,41,143,539,185,128,31,16,81,8,189,419,100,127,43,158,524,288,132,44,33,70,15
26,6,5,0,A,214,412,91,123,19,89,603,191,108,20,21,60,11,244,479,78,115,56,178,495,268,82,30,25,69,7
27,5,5,1,TIE,220,425,120,138,33,129,603,182,117,42,21,78,11,192,429,83,128,63,177,553,321,141,34,21,63,7
28,7,4,0,A,261,498,105,144,45,142,590,214,128,28,20,72,11,190,450,79,119,36,153,544,269,133,38,11,65,8
29,5,5,1,TIE,209,435,103,154,45,142,607,195,132,30,19,84,10,173,391,72,92,36,165,600,244,140,30,17,60,11
30,5,6,0,B,244,499,97,126,43,130,624,193,108,30,23,81,6,207,420,82,134,46,152,563,284,120,27,20,71,12
31,4,7,0,B,202,432,109,168,28,124,576,159,105,36,14,94,10,172,390,89,116,63,182,564,297,118,34,19,78,9
32,2,8,1,B,267,449,90,127,35,121,521,166,146,25,6,77,7,167,356,78,106,58,193,564,246,125,33,19,70,7
33,6,5,0,A,210,402,117,170,56,150,620,204,159,23,19,56,9,189,381,84,119,49,180,619,249,132,27,34,68,11
34,2,9,0,B,184,402,101,130,36,107,661,175,115,28,13,73,6,191,372,95,114,54,169,511,240,137,33,25,54,8
35,2,9,0,B,243,483,83,119,49,131,591,163,118,17,18,81,5,190,392,122,154,60,158,551,271,127,42,25,74,9
36,7,4,0,A,213,402,123,145,47,135,646,173,127,30,7,76,11,183,451,77,99,35,154,554,280,137,25,36,56,6
37,3,7,1,B,227,447,88,115,27,127,559,179,129,22,17,64,8,172,397,86,122,42,167,550,227,155,31,22,41,8
38,5,6,0,B,232,442,139,178,26,98,562,145,118,35,17,94,7,188,371,78,109,35,149,552,263,145,31,26,44,11
39,5,4,2,A,193,446,107,150,27,116,590,183,132,29,27,81,10,184,446,70,113,36,121,563,275,132,28,26,54,10
40,4,6,1,B,221,425,94,135,34,153,666,173,127,29,8,79,9,218,428,84,127,33,133,673,266,149,21,37,72,9
41,3,8,0,B,225,459,97,127,31,151,550,199,126,28,16,75,9,198,393,109,130,54,182,491,270,114,38,21,74,7
42,5,6,0,B,196,422,72,121,42,159,608,200,118,41,18,76,13,192,404,67,102,31,142,494,268,134,24,24,51,10
43,4,7,0,B,238,387,98,136,50,137,593,180,121,39,30,88,7,178,439,70,96,39,163,476,245,147,46,32,64,10
44,3,8,0,B,249,474,86,122,34,113,523,178,125,27,31,73,8,209,393,88,115,39,157,507,245,138,31,25,56,9
45,5,6,0,B,206,388,116,149,45,109,562,159,138,33,18,101,4,182,424,97,121,40,178,555,297,123,43,24,56,9
46,6,5,0,A,221,439,124,166,44,131,648,178,138,26,18,85,10,184,381,75,105,56,159,549,271,131,23,33,57,9
47,5,6,0,B,239,447,93,122,40,134,552,173,129,29,17,71,8,205,417,56,111,51,174,516,280,136,48,36,51,7
48,2,9,0,B,238,459,93,128,28,142,699,195,139,30,28,74,8,212,406,83,116,48,174,572,263,143,34,34,47,9
49,5,6,0,B,262,420,121,140,37,131,572,195,102,31,13,72,7,199,443,72,101,31,159,582,257,141,21,18,56,8
50,3,8,0,B,209,459,92,124,25,126,605,175,83,27,17,77,6,175,434,66,92,52,166,509,215,139,32,27,68,9
51,8,3,0,A,234,427,85,118,46,113,593,142,119,30,27,70,3,201,439,100,157,40,133,562,286,115,25,19,57,14
52,4,7,0,B,260,485,134,167,37,125,602,162,117,20,22,89,8,212,408,81,108,45,147,490,262,126,28,14,64,10
53,6,5,0,A,251,464,116,155,36,94,496,185,127,43,34,96,6,204,408,69,97,59,198,493,223,138,26,23,69,7
54,2,9,0,B,197,413,79,124,31,110,536,184,128,37,10,86,8,232,478,100,129,53,174,605,254,120,24,12,53,10
55,4,7,0,B,218,406,102,147,46,113,571,148,106,31,18,94,10,199,392,75,108,49,156,576,240,120,20,26,63,8
56,3,8,0,B,213,469,104,147,47,119,595,178,95,34,18,82,5,226,435,94,129,61,186,527,278,121,27,28,61,10
57,2,9,0,B,220,410,111,157,39,125,602,174,117,23,20,82,7,212,400,80,124,58,179,648,254,135,28,24,58,9
58,4,7,0,B,222,440,66,107,44,134,620,192,115,26,15,75,10,168,414,78,116,38,156,592,260,127,39,23,64,12
59,5,5,1,TIE,269,459,79,123,42,121,544,196,123,29,17,89,7,203,410,73,115,56,147,508,260,112,17,17,58,9
60,4,7,0,B,235,475,76,117,28,106,599,169,139,34,22,60,5,225,430,75,129,38,133,520,253,126,23,27,54,8
61,6,4,1,A,206,417,128,159,35,123,542,159,135,34,9,88,7,195,391,110,156,35,174,504,254,112,28,21,59,4
62,2,9,0,B,198,414,123,153,30,121,622,173,100,28,18,87,6,215,444,87,118,48,175,631,248,168,34,16,57,11
63,4,7,0,B,219,397,112,152,20,117,639,203,108,37,18,87,8,159,364,79,118,52,168,525,231,150,23,31,65,9
64,5,6,0,B,211,386,116,153,36,133,563,176,115,33,23,91,10,223,463,82,110,48,156,520,216,133,24,26,59,7
65,5,5,1,TIE,224,431,115,149,65,141,595,178,139,29,16,71,10,199,451,83,111,50,170,632,273,130,31,30,60,10
66,3,8,0,B,219,404,125,167,25,114,660,173,111,26,33,63,6,225,402,89,121,54,145,544,266,144,33,20,57,7
67,5,6,0,B,223,392,121,145,32,116,683,169,108,29,27,77,9,179,389,89,137,45,171,562,311,145,35,17,59,13
68,3,8,0,B,198,424,96,137,36,120,540,185,121,24,17,72,7,211,425,72,97,53,179,521,274,103,34,19,57,9
69,2,9,0,B,231,427,111,153,34,118,583,188,98,23,17,97,5,228,424,85,111,54,173,476,280,115,31,20,57,11
70,3,8,0,B,226,430,109,142,29,116,549,187,104,24,23,78,6,159,379,91,148,59,179,537,245,146,31,27,48,8
71,7,4,0,A,265,514,94,118,36,147,589,184,138,20,12,96,9,204,400,62,108,32,137,579,235,122,27,23,50,7
72,3,8,0,B,256,467,99,133,33,113,563,173,114,30,16,89,8,216,436,72,96,54,162,474,234,123,33,22,56,7
73,5,6,0,B,215,436,112,135,22,124,598,199,139,27,23,73,11,192,429,83,115,45,158,439,247,129,34,28,71,7
74,4,7,0,B,209,435,97,121,30,127,496,169,130,17,23,79,4,205,455,68,104,42,165,431,253,143,26,21,58,7
75,1,10,0,B,199,444,87,116,36,118,535,177,108,22,10,72,6,199,387,63,88,52,154,563,273,146,30,16,41,8
76,3,8,0,B,243,500,146,182,34,113,517,204,120,29,18,81,9,198,389,89,130,53,157,569,226,123,25,28,72,7
77,7,4,0,A,247,429,105,142,56,113,557,185,155,26,14,86,12,195,425,95,121,31,166,373,249,111,21,29,53,8
78,4,7,0,B,170,350,129,170,25,109,564,190,100,27,18,73,9,198,438,78,132,63,190,515,231,112,33,20,80,11
79,4,7,0,B,235,478,85,124,36,140,475,190,132,21,27,77,8,192,392,67,94,54,192,469,267,128,28,44,71,6
80,4,7,0,B,211,403,85,129,28,114,660,157,126,33,28,83,7,187,395,78,108,45,149,575,285,133,32,22,59,12
81,3,8,0,B,192,368,95,146,44,110,524,172,132,30,11,94,4,206,420,67,97,50,180,545,272,136,29,31,65,10
82,6,5,0,A,246,481,89,136,32,104,659,162,139,38,17,60,10,183,409,73,99,61,166,532,266,123,26,25,69,9
83,5,6,0,B,235,445,99,135,24,105,587,178,94,33,11,76,8,180,388,75,109,47,171,524,282,160,18,33,80,10
84,3,8,0,B,273,465,91,136,44,108,489,136,118,27,22,76,4,185,387,105,128,46,151,530,257,149,37,16,64,10
85,4,7,0,B,225,423,109,156,40,111,664,200,115,29,15,80,7,187,384,90,123,59,198,578,247,132,24,34,65,8
86,2,9,0,B,250,417,72,115,34,118,614,164,118,32,19,86,8,186,377,102,133,48,160,528,232,163,38,30,72,12
