sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,5,6,0,B,173,374,83,102,41,150,584,157,82,34,18,68,5,205,387,103,143,32,124,570,170,122,30,29,56,8
1,7,3,1,A,186,431,114,158,33,141,554,165,117,29,26,43,4,209,384,99,131,30,116,543,162,108,26,14,54,4
2,6,5,0,A,173,393,66,90,46,156,447,118,121,37,21,53,4,184,342,87,144,40,131,542,178,112,21,18,61,6
3,4,7,0,B,194,428,110,150,54,148,521,166,108,28,30,52,3,248,397,121,155,44,142,578,186,113,29,20,58,5
4,10,1,0,A,192,374,92,130,47,177,557,203,136,36,28,45,7,211,423,117,176,40,120,525,155,100,30,20,59,5
5,5,6,0,B,168,367,67,90,34,160,482,168,116,31,36,62,4,216,410,116,148,25,120,520,192,101,29,30,52,6
6,6,4,1,A,193,385,102,151,32,120,532,174,100,24,25,47,5,178,375,99,134,28,149,484,172,132,26,16,40,5
7,6,4,1,A,183,381,96,134,28,139,470,165,141,26,20,46,7,202,420,87,140,23,109,469,169,119,31,16,57,7
8,8,3,0,A,201,432,85,125,57,149,561,172,88,25,18,55,4,181,426,63,100,32,136,547,165,129,24,22,59,6
9,3,8,0,B,175,380,67,107,39,136,532,149,120,32,22,49,3,199,405,91,129,44,129,498,181,102,24,25,34,4
10,4,7,0,B,185,397,88,145,35,160,547,154,125,27,24,51,6,174,332,97,121,22,124,481,189,129,37,9,46,9
11,6,5,0,A,211,483,80,101,40,151,607,193,104,29,29,45,6,197,368,103,138,39,129,531,215,115,43,16,49,4
12,2,7,2,B,155,395,72,95,28,138,466,175,88,35,21,44,4,197,392,83,112,34,115,519,196,128,31,21,44,5
13,5,5,1,TIE,171,370,79,122,36,164,572,201,125,23,23,57,8,219,397,97,138,36,117,503,191,112,26,12,36,6
14,3,8,0,B,189,395,82,114,30,130,572,189,87,23,14,68,8,223,465,88,111,37,116,514,153,105,33,17,42,3
