sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
0,7,3,1,A,126,259,45,63,32,102,303,117,61,24,11,39,5,103,342,59,87,32,134,404,114,81,21,15,41,4
1,5,6,0,B,120,245,50,72,36,97,295,184,73,21,18,49,8,142,348,46,79,43,131,431,173,81,35,22,40,4
2,4,6,1,B,134,292,39,49,25,112,414,130,100,40,19,36,6,156,337,88,110,40,146,429,142,82,24,12,37,6
3,5,5,1,TIE,108,252,95,109,32,125,341,117,61,30,14,35,4,136,310,84,118,46,172,331,123,81,24,7,39,4
4,8,3,0,A,128,292,72,101,32,120,354,169,75,34,23,35,6,149,360,58,85,40,154,378,145,80,32,12,41,4
5,6,5,0,A,142,333,51,67,30,136,353,119,91,30,15,29,3,144,353,64,89,44,174,534,152,82,24,11,42,6
6,4,6,1,B,127,260,42,66,26,120,348,108,83,19,9,46,4,176,421,60,86,31,167,399,130,76,20,10,79,4
7,6,5,0,A,123,231,75,98,32,119,308,91,91,25,14,39,2,170,353,69,83,42,174,386,124,78,24,13,56,4
8,4,7,0,B,104,224,44,53,14,103,304,130,78,18,9,37,6,149,391,52,73,39,153,416,152,96,28,17,48,4
9,6,5,0,A,102,277,46,74,17,144,358,150,99,32,20,44,6,171,377,63,83,35,128,485,137,79,27,9,60,5
10,8,3,0,A,131,315,62,78,17,106,401,129,74,29,22,26,7,167,383,67,93,61,168,375,122,59,23,7,48,4
11,4,6,1,B,113,283,78,106,43,125,357,151,75,31,16,36,6,148,333,64,86,58,180,459,116,92,23,16,31,4
12,3,7,1,B,105,268,51,76,19,109,274,121,87,21,13,46,5,159,381,46,64,39,140,459,139,79,26,13,47,4
