PLAYER_ID,PLAYER_NAME,NBA_SEASON,SEASON_WEEK_ID,PTS,REB,AST,STL,BLK,TOV,FG3M,FG3A,FGM,FGA,FTM,FTA,DD,GAMES_PLAYED,FG_PCT,FT_PCT,FG3_PCT
1628389,Bam Adebayo,2022-23,2022-23_W1,41,24,8,2,1,13,0,1,17,32,7,9,0,3,0.53125,0.7777777777777778,0.0
1628389,Bam Adebayo,2022-23,2022-23_W10,45,19,9,0,0,6,0,0,20,34,5,6,1,2,0.5882352941176471,0.8333333333333334,0.0
1628389,Bam Adebayo,2022-23,2022-23_W11,77,29,7,6,4,7,0,0,27,47,23,30,1,3,0.574468085106383,0.7666666666666667,0.0
1628389,Bam Adebayo,2022-23,2022-23_W12,92,45,8,5,6,6,0,0,40,72,12,20,3,4,0.5555555555555556,0.6,0.0
1628389,Bam Adebayo,2022-23,2022-23_W13,44,25,3,2,3,1,0,0,20,38,4,6,2,2,0.5263157894736842,0.6666666666666666,0.0
1628389,Bam Adebayo,2022-23,2022-23_W14,82,41,12,7,4,9,0,0,34,60,14,18,2,4,0.5666666666666667,0.7777777777777778,0.0
1628389,Bam Adebayo,2022-23,2022-23_W15,67,25,14,6,2,7,0,0,27,51,13,19,1,3,0.5294117647058824,0.6842105263157895,0.0
1628389,Bam Adebayo,2022-23,2022-23_W16,66,31,12,4,1,1,0,0,25,44,16,19,2,3,0.5681818181818182,0.8421052631578947,0.0
1628389,Bam Adebayo,2022-23,2022-23_W17,71,35,12,5,2,9,0,1,24,37,23,25,1,3,0.6486486486486487,0.92,0.0
1628389,Bam Adebayo,2022-23,2022-23_W18,43,15,8,2,3,3,0,0,16,33,11,14,1,2,0.4848484848484848,0.7857142857142857,0.0
1628389,Bam Adebayo,2022-23,2022-23_W19,32,13,5,3,0,4,0,1,14,31,4,7,0,2,0.4516129032258064,0.5714285714285714,0.0
1628389,Bam Adebayo,2022-23,2022-23_W2,81,32,11,6,7,12,0,1,29,54,23,27,1,4,0.5370370370370371,0.8518518518518519,0.0
1628389,Bam Adebayo,2022-23,2022-23_W20,81,30,13,4,5,11,0,0,29,55,23,26,1,4,0.5272727272727272,0.8846153846153846,0.0
1628389,Bam Adebayo,2022-23,2022-23_W21,66,20,13,6,3,13,0,0,28,49,10,12,0,4,0.5714285714285714,0.8333333333333334,0.0
1628389,Bam Adebayo,2022-23,2022-23_W22,87,34,15,3,7,12,0,0,31,54,25,33,1,4,0.5740740740740741,0.7575757575757576,0.0
1628389,Bam Adebayo,2022-23,2022-23_W23,31,14,5,2,2,7,0,0,13,25,5,6,0,2,0.52,0.8333333333333334,0.0
1628389,Bam Adebayo,2022-23,2022-23_W24,30,23,8,2,0,3,0,0,11,28,8,10,1,2,0.3928571428571428,0.8,0.0
1628389,Bam Adebayo,2022-23,2022-23_W25,36,15,4,3,0,1,0,0,15,24,6,6,0,3,0.625,1.0,0.0
1628389,Bam Adebayo,2022-23,2022-23_W3,57,28,16,4,1,11,0,1,24,45,9,9,2,3,0.5333333333333333,1.0,0.0
1628389,Bam Adebayo,2022-23,2022-23_W4,58,34,11,4,2,11,0,1,25,47,8,10,2,3,0.5319148936170213,0.8,0.0
1628389,Bam Adebayo,2022-23,2022-23_W5,51,16,4,1,1,6,0,1,16,32,19,21,1,2,0.5,0.9047619047619048,0.0
1628389,Bam Adebayo,2022-23,2022-23_W6,102,45,11,2,4,6,0,3,40,75,22,26,3,4,0.5333333333333333,0.8461538461538461,0.0
1628389,Bam Adebayo,2022-23,2022-23_W7,51,13,8,3,1,7,1,1,20,37,10,11,0,2,0.5405405405405406,0.9090909090909092,1.0
1628389,Bam Adebayo,2022-23,2022-23_W8,79,39,14,1,1,8,0,1,33,61,13,19,2,4,0.5409836065573771,0.6842105263157895,0.0
1628389,Bam Adebayo,2022-23,2022-23_W9,59,43,9,5,1,13,0,0,24,49,11,13,3,3,0.4897959183673469,0.8461538461538461,0.0
1628389,Bam Adebayo,2023-24,2023-24_W1,68,18,7,1,4,9,0,1,24,50,20,29,0,3,0.48,0.6896551724137931,0.0
1628389,Bam Adebayo,2023-24,2023-24_W10,92,44,23,1,4,10,0,1,35,62,22,28,4,4,0.5645161290322581,0.7857142857142857,0.0
1628389,Bam Adebayo,2023-24,2023-24_W11,70,45,21,5,1,12,0,2,27,62,16,19,2,4,0.4354838709677419,0.8421052631578947,0.0
1628389,Bam Adebayo,2023-24,2023-24_W12,46,33,9,2,7,2,0,1,18,37,10,15,2,3,0.4864864864864865,0.6666666666666666,0.0
1628389,Bam Adebayo,2023-24,2023-24_W13,58,49,13,4,4,10,0,0,24,50,10,13,3,4,0.48,0.7692307692307693,0.0
1628389,Bam Adebayo,2023-24,2023-24_W14,56,26,9,3,3,6,0,0,24,41,8,10,1,3,0.5853658536585366,0.8,0.0
1628389,Bam Adebayo,2023-24,2023-24_W15,39,25,15,4,0,5,0,0,17,28,5,5,2,2,0.6071428571428571,1.0,0.0
1628389,Bam Adebayo,2023-24,2023-24_W17,86,34,15,3,2,12,0,1,34,60,18,24,1,4,0.5666666666666667,0.75,0.0
1628389,Bam Adebayo,2023-24,2023-24_W18,53,42,12,7,4,6,0,2,21,54,11,21,1,4,0.3888888888888889,0.5238095238095238,0.0
1628389,Bam Adebayo,2023-24,2023-24_W19,59,39,8,4,4,3,3,3,26,42,4,9,2,3,0.6190476190476191,0.4444444444444444,1.0
1628389,Bam Adebayo,2023-24,2023-24_W2,39,18,6,2,2,8,0,0,16,27,7,7,1,2,0.5925925925925926,1.0,0.0
1628389,Bam Adebayo,2023-24,2023-24_W20,47,39,10,5,2,5,3,5,19,28,6,8,3,3,0.6785714285714286,0.75,0.6
1628389,Bam Adebayo,2023-24,2023-24_W21,67,31,19,5,3,10,3,8,25,45,14,19,2,3,0.5555555555555556,0.7368421052631579,0.375
1628389,Bam Adebayo,2023-24,2023-24_W22,67,44,13,2,3,5,2,5,27,54,11,13,3,4,0.5,0.8461538461538461,0.4
1628389,Bam Adebayo,2023-24,2023-24_W23,54,22,12,6,2,9,3,7,23,41,5,7,0,4,0.5609756097560976,0.7142857142857143,0.4285714285714285
1628389,Bam Adebayo,2023-24,2023-24_W3,102,58,21,8,7,11,1,1,36,67,29,34,4,4,0.5373134328358209,0.8529411764705882,1.0
1628389,Bam Adebayo,2023-24,2023-24_W4,65,28,13,5,1,6,0,0,24,43,17,18,2,3,0.5581395348837209,0.9444444444444444,0.0
1628389,Bam Adebayo,2023-24,2023-24_W5,44,23,8,3,0,3,0,1,16,30,12,15,2,2,0.5333333333333333,0.8,0.0
1628389,Bam Adebayo,2023-24,2023-24_W6,38,14,7,0,2,2,0,0,16,36,6,9,1,2,0.4444444444444444,0.6666666666666666,0.0
1628389,Bam Adebayo,2023-24,2023-24_W7,58,24,14,4,1,11,0,1,22,51,14,18,1,3,0.4313725490196078,0.7777777777777778,0.0
