Stat,Historical Mean,Historical Std,Simulated Mean,Simulated Std,Mean % Diff,Std % Diff
pts,27.62,8.00,28.32,11.83,2.53,47.83
reb,6.76,2.94,6.74,4.39,-0.23,49.66
ast,5.57,2.71,5.89,4.24,5.64,56.66
stl,0.81,0.88,1.15,1.33,42.32,51.75
blk,1.17,1.06,1.15,1.47,-1.82,38.12
tov,3.23,1.85,4.03,3.10,24.73,67.38
minutes,35.75,5.14,35.20,4.57,-1.55,-11.14
fgm,9.85,3.11,10.34,4.78,4.98,53.85
fga,18.62,5.54,19.15,6.83,2.86,23.19
fg3m,2.06,1.38,2.01,1.60,-2.53,15.80
fg3a,5.22,2.52,4.94,2.40,-5.38,-4.97
ftm,5.86,3.40,5.63,4.36,-3.90,28.40
fta,6.59,3.65,6.38,4.93,-3.14,35.27
