minutes,fga,fg3a,fta,fgm,fg3m,ftm,reb,oreb,dreb,ast,stl,blk,tov,pts,game_num,game_type,matchup_type,player_id
30.09458360270083,18.0,3,14.0,6,3,12,7.0,2,5.0,8.0,0.0,0.0,1.0,27,1,average,normal,Kevin Durant
39.31073159786337,3.0,1,4.0,1,0,3,13.0,4,9.0,7.0,2.0,6.869604725124944,2.0,5,2,average,normal,Kevin Durant
37.23300343177819,15.0,2,0.0,9,2,0,7.0,1,6.0,9.0,1.0,1.0,1.0,20,3,average,tough,Kevin Durant
35.61897293386566,28.0,4,4.0,14,2,1,11.0,1,10.0,8.0,2.0,3.0,0.0,31,4,passive,normal,Kevin Durant
42.19890980202985,31.268094962362476,6,15.78178275694106,19,5,13,9.0,1,8.0,11.0,2.0,1.0,4.0,56,5,hot,normal,Kevin Durant
36.999564735665444,24.0,10,10.0,11,1,6,9.0,1,8.0,5.0,3.0,0.0,1.0,29,6,average,tough,Kevin Durant
35.99388893291088,31.268094962362476,4,4.0,16,2,4,4.0,1,3.0,0.0,2.0,2.0,8.0,38,7,hot,easy,Kevin Durant
33.771005923332204,22.0,7,0.0,14,3,0,4.0,1,3.0,14.0,0.0,0.0,12.083916083916085,31,8,hot,easy,Kevin Durant
40.26947107074152,31.268094962362476,8,15.78178275694106,19,5,14,15.802469135802468,1,14.802469135802468,3.0,3.0,0.0,2.0,57,9,average,easy,Kevin Durant
34.14150628830762,7.0,3,0.0,2,1,0,3.0,1,2.0,11.0,4.948453608247423,0.0,7.0,5,10,average,normal,Kevin Durant
31.23782941998141,28.0,7,3.0,13,3,3,3.0,0,3.0,6.0,1.0,2.0,5.0,32,11,cold,normal,Kevin Durant
29.43006191561891,14.0,6,4.0,3,0,3,2.0,0,2.0,7.0,1.0,1.0,1.0,9,12,average,normal,Kevin Durant
32.43916252776104,24.0,8,1.0,11,2,1,8.0,2,6.0,2.0,1.0,0.0,0.0,25,13,average,normal,Kevin Durant
32.20089866629443,16.0,2,2.0,11,0,2,4.0,1,3.0,4.0,1.0,3.0,2.0,24,14,average,normal,Kevin Durant
35.11457901495876,25.0,4,6.0,15,3,5,4.0,1,3.0,9.0,2.0,0.0,4.0,38,15,average,normal,Kevin Durant
41.3320856374073,20.0,4,9.0,10,2,9,6.0,1,5.0,4.0,2.0,1.0,10.0,31,16,average,easy,Kevin Durant
28.890310337307703,3.0,1,4.0,1,0,4,9.0,1,8.0,0.0,0.0,2.0,1.0,6,17,average,normal,Kevin Durant
34.752552742314755,31.268094962362476,7,12.0,13,3,9,15.0,3,12.0,7.0,1.0,3.0,5.0,38,18,average,normal,Kevin Durant
27.810927385208252,15.0,2,15.78178275694106,11,1,15,12.0,0,12.0,3.0,3.0,2.0,6.0,38,19,average,easy,Kevin Durant
31.699648566166275,6.0,3,4.0,3,2,4,0.0,0,0.0,3.0,2.0,0.0,5.0,12,20,average,normal,Kevin Durant
35.67951444393757,22.0,5,15.78178275694106,13,1,14,6.0,1,5.0,3.0,1.0,4.0,3.0,41,21,hot,easy,Kevin Durant
23.99604786650355,20.0,6,2.0,9,3,2,0.0,0,0.0,9.0,0.0,3.0,6.0,23,22,hot,tough,Kevin Durant
35.07424630950778,25.0,8,0.0,12,4,0,9.0,3,6.0,9.0,1.0,0.0,5.0,28,23,average,normal,Kevin Durant
34.774955476097986,20.0,8,0.0,17,7,0,14.0,2,12.0,4.0,2.0,0.0,2.0,41,24,hot,tough,Kevin Durant
44.587144613104094,17.0,6,0.0,8,4,0,15.802469135802468,5,10.802469135802468,6.0,1.0,3.0,5.0,20,25,average,normal,Kevin Durant
37.18790252168947,26.0,4,1.0,19,2,1,5.0,1,4.0,11.0,0.0,3.0,3.0,41,26,passive,normal,Kevin Durant
40.62312377477018,11.0,5,8.0,2,1,7,5.0,1,4.0,16.0,3.0,0.0,7.0,12,27,passive,tough,Kevin Durant
34.757684719203844,12.0,1,4.0,8,0,2,3.0,1,2.0,4.0,2.0,1.0,2.0,18,28,average,normal,Kevin Durant
39.721099299210834,12.0,4,0.0,9,0,0,15.802469135802468,2,13.802469135802468,15.0,1.0,2.0,4.0,18,29,average,normal,Kevin Durant
35.77206488301432,16.0,5,4.0,7,2,4,7.0,1,6.0,7.0,3.0,2.0,2.0,20,30,average,normal,Kevin Durant
37.171021845685544,12.0,5,8.0,6,2,6,3.0,1,2.0,5.0,0.0,0.0,0.0,20,31,average,normal,Kevin Durant
32.81365294781285,11.0,5,2.0,3,0,2,9.0,2,7.0,1.0,3.0,1.0,1.0,8,32,average,tough,Kevin Durant
38.35802649421736,26.0,0,15.78178275694106,14,0,14,14.0,2,12.0,1.0,1.0,4.0,5.0,42,33,average,tough,Kevin Durant
34.4479446243965,17.0,5,4.0,12,3,4,8.0,1,7.0,10.0,1.0,1.0,1.0,31,34,passive,tough,Kevin Durant
29.318621754662352,13.0,5,0.0,3,0,0,6.0,1,5.0,1.0,0.0,0.0,4.0,6,35,average,normal,Kevin Durant
39.6558487431803,30.0,5,4.0,18,2,4,3.0,0,3.0,4.0,0.0,1.0,3.0,42,36,average,easy,Kevin Durant
36.711458435371405,22.0,8,8.0,11,5,6,4.0,1,3.0,1.0,0.0,0.0,4.0,33,37,average,easy,Kevin Durant
44.69861056567755,22.0,9,9.0,10,2,8,5.0,0,5.0,0.0,4.948453608247423,3.0,7.0,30,38,average,normal,Kevin Durant
33.35444116797404,24.0,8,0.0,16,5,0,8.0,3,5.0,6.0,2.0,0.0,7.0,37,39,hot,tough,Kevin Durant
39.70381256649799,23.0,5,10.0,14,0,8,3.0,0,3.0,11.0,0.0,0.0,3.0,36,40,average,tough,Kevin Durant
37.33572806105338,31.268094962362476,8,15.78178275694106,20,3,15,3.0,0,3.0,5.0,1.0,1.0,4.0,58,41,hot,normal,Kevin Durant
36.244590018984375,15.0,3,6.0,11,1,6,4.0,1,3.0,0.0,1.0,2.0,12.083916083916085,29,42,average,normal,Kevin Durant
20.48832563208423,25.0,6,8.0,16,2,6,2.0,0,2.0,1.0,0.0,0.0,0.0,40,43,hot,normal,Kevin Durant
36.05853692103445,14.0,6,1.0,6,0,1,15.0,4,11.0,16.18443804034582,0.0,3.0,6.0,13,44,average,tough,Kevin Durant
18.704665765816582,15.0,4,6.0,6,2,5,3.0,1,2.0,4.0,0.0,0.0,3.0,19,45,average,normal,Kevin Durant
36.47319552383397,27.0,1,0.0,13,0,0,15.802469135802468,1,14.802469135802468,7.0,2.0,0.0,12.083916083916085,26,46,average,normal,Kevin Durant
42.79895185872184,22.0,6,4.0,14,1,3,5.0,1,4.0,1.0,1.0,0.0,6.0,32,47,hot,normal,Kevin Durant
35.02282218833147,23.0,0,4.0,8,0,4,7.0,0,7.0,4.0,2.0,4.0,1.0,20,48,passive,tough,Kevin Durant
39.34521737840949,26.0,6,9.0,17,1,9,5.0,1,4.0,2.0,0.0,1.0,12.0,44,49,hot,normal,Kevin Durant
40.770994112218474,20.0,8,15.78178275694106,10,4,13,9.0,1,8.0,16.18443804034582,0.0,0.0,6.0,37,50,average,normal,Kevin Durant
37.99630983934917,22.0,7,0.0,13,0,0,13.0,7,6.0,2.0,1.0,0.0,1.0,26,51,average,tough,Kevin Durant
41.157507112553034,25.0,2,8.0,10,1,8,15.802469135802468,2,13.802469135802468,15.0,2.0,0.0,3.0,29,52,cold,normal,Kevin Durant
37.0612761688511,20.0,6,4.0,7,3,4,7.0,2,5.0,5.0,0.0,3.0,2.0,21,53,cold,tough,Kevin Durant
40.4029545791784,31.0,12,12.0,21,7,12,8.0,2,6.0,10.0,1.0,0.0,2.0,61,54,hot,easy,Kevin Durant
33.81746892161508,31.268094962362476,7,6.0,15,2,5,4.0,0,4.0,3.0,3.0,0.0,4.0,37,55,hot,normal,Kevin Durant
34.43020724515452,18.0,4,2.0,7,1,2,7.0,1,6.0,5.0,0.0,0.0,8.0,17,56,passive,normal,Kevin Durant
31.702919872839313,14.0,1,2.0,8,0,1,5.0,2,3.0,1.0,2.0,0.0,1.0,17,57,average,tough,Kevin Durant
32.50354088815563,22.0,3,4.0,9,1,4,6.0,0,6.0,6.0,0.0,0.0,4.0,23,58,cold,normal,Kevin Durant
37.06252973992982,31.268094962362476,7,15.78178275694106,24,5,14,0.0,0,0.0,2.0,2.0,0.0,8.0,67,59,hot,easy,Kevin Durant
42.789935837310885,27.0,8,15.78178275694106,14,2,14,9.0,2,7.0,10.0,2.0,0.0,8.0,44,60,average,normal,Kevin Durant
34.670029764798926,10.0,4,10.0,6,1,10,4.0,0,4.0,0.0,0.0,0.0,1.0,23,61,cold,normal,Kevin Durant
32.527649824486176,17.0,6,4.0,8,1,4,10.0,1,9.0,10.0,1.0,0.0,8.0,21,62,average,normal,Kevin Durant
31.78325021363135,31.268094962362476,5,4.0,19,4,4,2.0,0,2.0,9.0,0.0,1.0,4.0,46,63,average,easy,Kevin Durant
39.13175601872066,15.0,6,0.0,8,2,0,3.0,1,2.0,9.0,1.0,1.0,5.0,18,64,passive,normal,Kevin Durant
39.0728259157576,20.0,7,7.0,8,3,7,15.802469135802468,5,10.802469135802468,1.0,1.0,0.0,2.0,26,65,average,normal,Kevin Durant
32.52957579268159,13.0,5,0.0,6,1,0,9.0,1,8.0,12.0,4.948453608247423,3.0,2.0,13,66,passive,tough,Kevin Durant
36.9089659214206,15.0,2,0.0,11,1,0,5.0,0,5.0,8.0,2.0,0.0,7.0,23,67,average,normal,Kevin Durant
39.30113643605695,16.0,3,2.0,9,2,2,1.0,0,1.0,6.0,1.0,3.0,7.0,22,68,average,tough,Kevin Durant
33.584662845892794,21.0,5,14.0,15,2,12,7.0,2,5.0,7.0,0.0,0.0,0.0,44,69,hot,tough,Kevin Durant
42.54159988170971,16.0,7,14.0,9,2,14,9.0,1,8.0,5.0,2.0,1.0,6.0,34,70,passive,tough,Kevin Durant
36.29652626654646,28.0,9,2.0,14,2,1,0.0,0,0.0,8.0,1.0,2.0,3.0,31,71,average,normal,Kevin Durant
30.847140206622583,12.0,1,8.0,9,0,7,10.0,2,8.0,2.0,0.0,0.0,1.0,25,72,average,easy,Kevin Durant
35.10825279470253,18.0,4,4.0,11,1,4,2.0,0,2.0,4.0,0.0,0.0,3.0,27,73,average,normal,Kevin Durant
29.426881763521834,27.0,6,2.0,14,4,2,2.0,0,2.0,4.0,2.0,1.0,3.0,34,74,hot,normal,Kevin Durant
33.398782508745505,21.0,9,12.0,11,3,10,15.802469135802468,4,11.802469135802468,7.0,1.0,2.0,2.0,35,75,average,normal,Kevin Durant
35.536202754913454,25.0,6,3.0,13,2,3,1.0,0,1.0,16.18443804034582,1.0,1.0,6.0,31,76,average,normal,Kevin Durant
42.7192714214684,25.0,7,8.0,10,4,7,1.0,0,1.0,13.0,0.0,0.0,6.0,31,77,average,normal,Kevin Durant
40.35434579552962,24.0,6,8.0,14,3,8,4.0,0,4.0,3.0,2.0,1.0,3.0,39,78,average,normal,Kevin Durant
36.33004855759237,23.0,6,8.0,11,4,7,11.0,1,10.0,7.0,3.0,1.0,2.0,33,79,average,normal,Kevin Durant
29.776292649796453,12.0,5,15.78178275694106,6,0,15,1.0,0,1.0,4.0,1.0,3.0,9.0,27,80,average,normal,Kevin Durant
18.59693045444203,7.0,3,0.0,5,2,0,8.0,1,7.0,4.0,1.0,0.0,1.0,12,81,average,normal,Kevin Durant
31.488415422869384,23.0,4,8.0,9,1,8,1.0,0,1.0,6.0,0.0,0.0,5.0,27,82,average,normal,Kevin Durant
39.08855421490542,28.0,10,0.0,20,6,0,1.0,0,1.0,4.0,0.0,0.0,4.0,46,83,hot,normal,Kevin Durant
36.63838659019667,10.0,1,8.0,4,0,8,5.0,0,5.0,8.0,0.0,0.0,4.0,16,84,hot,normal,Kevin Durant
37.59903345849801,31.268094962362476,4,12.0,14,1,9,5.0,2,3.0,3.0,2.0,1.0,7.0,38,85,average,normal,Kevin Durant
35.72959812146842,20.0,4,4.0,10,1,4,6.0,2,4.0,4.0,0.0,0.0,2.0,25,86,average,normal,Kevin Durant
36.901955989592345,20.0,8,12.0,13,1,12,2.0,1,1.0,2.0,1.0,4.0,4.0,39,87,average,tough,Kevin Durant
37.30664456427663,11.0,5,4.0,6,1,4,5.0,0,5.0,5.0,0.0,0.0,3.0,17,88,average,normal,Kevin Durant
35.99991363319949,30.0,2,15.78178275694106,15,0,12,11.0,2,9.0,5.0,0.0,0.0,1.0,42,89,average,easy,Kevin Durant
31.314912164706787,22.0,6,0.0,10,3,0,5.0,0,5.0,2.0,0.0,0.0,4.0,23,90,average,tough,Kevin Durant
32.05978714035443,19.0,3,0.0,6,1,0,4.0,0,4.0,13.0,2.0,0.0,2.0,13,91,average,normal,Kevin Durant
35.08993228005976,7.0,3,8.0,4,0,8,3.0,0,3.0,8.0,0.0,1.0,7.0,16,92,average,normal,Kevin Durant
36.581947364420216,12.0,5,5.0,10,4,4,4.0,1,3.0,0.0,3.0,5.0,6.0,28,93,hot,tough,Kevin Durant
39.22491568905803,18.0,5,12.0,14,4,12,15.802469135802468,2,13.802469135802468,14.0,2.0,1.0,5.0,44,94,hot,easy,Kevin Durant
31.58687231991541,19.0,7,12.0,11,1,12,1.0,0,1.0,14.0,2.0,0.0,1.0,35,95,hot,tough,Kevin Durant
34.45316793072625,14.0,3,4.0,8,1,4,2.0,0,2.0,8.0,0.0,4.0,3.0,21,96,average,normal,Kevin Durant
35.552730391823374,25.0,3,4.0,19,2,4,2.0,0,2.0,2.0,0.0,1.0,5.0,44,97,average,easy,Kevin Durant
32.54728586752544,31.0,3,11.0,18,1,11,2.0,0,2.0,3.0,2.0,0.0,0.0,48,98,average,normal,Kevin Durant
40.37292599166509,18.0,3,0.0,6,1,0,3.0,1,2.0,7.0,2.0,0.0,4.0,13,99,average,tough,Kevin Durant
34.39824409611318,18.0,8,15.78178275694106,13,3,13,4.0,0,4.0,1.0,0.0,1.0,5.0,42,100,average,easy,Kevin Durant
39.490867290794064,24.0,8,4.0,11,2,4,10.0,2,8.0,12.0,0.0,0.0,11.0,28,101,passive,tough,Kevin Durant
37.39206052731592,25.0,8,3.0,12,4,3,2.0,0,2.0,3.0,1.0,2.0,9.0,31,102,average,easy,Kevin Durant
40.72829384471528,11.0,5,8.0,3,1,7,15.802469135802468,3,12.802469135802468,7.0,0.0,2.0,2.0,14,103,cold,easy,Kevin Durant
34.41945968209587,15.0,5,4.0,7,4,4,4.0,1,3.0,1.0,0.0,0.0,3.0,22,104,average,easy,Kevin Durant
34.485418387826435,19.0,2,0.0,7,1,0,8.0,1,7.0,12.0,0.0,2.0,6.0,15,105,passive,normal,Kevin Durant
37.57132619824835,21.0,6,0.0,11,5,0,15.0,4,11.0,2.0,1.0,1.0,1.0,27,106,average,easy,Kevin Durant
30.532074450538055,24.0,4,0.0,18,3,0,12.0,4,8.0,0.0,2.0,0.0,6.0,39,107,average,easy,Kevin Durant
33.00746484916038,9.0,4,10.0,6,2,10,8.0,2,6.0,1.0,2.0,0.0,4.0,24,108,average,normal,Kevin Durant
21.768389483996806,8.0,2,4.0,3,1,4,6.0,3,3.0,2.0,0.0,0.0,2.0,11,109,average,normal,Kevin Durant
40.23723036580574,9.0,4,8.0,4,1,8,4.0,0,4.0,2.0,0.0,1.0,6.0,17,110,average,normal,Kevin Durant
31.067109718894482,21.0,9,15.78178275694106,11,6,14,3.0,0,3.0,6.0,3.0,1.0,2.0,42,111,hot,easy,Kevin Durant
36.241296648972295,25.0,6,5.0,12,4,2,2.0,0,2.0,7.0,0.0,1.0,12.0,30,112,average,normal,Kevin Durant
37.55684728884427,24.0,6,15.78178275694106,14,3,12,4.0,1,3.0,5.0,2.0,0.0,3.0,43,113,average,normal,Kevin Durant
33.10959610227444,12.0,5,0.0,6,2,0,14.0,3,11.0,11.0,0.0,2.0,2.0,14,114,average,tough,Kevin Durant
35.728698956685065,27.0,2,0.0,12,0,0,1.0,0,1.0,8.0,1.0,2.0,6.0,24,115,average,tough,Kevin Durant
36.93206537959881,13.0,5,4.0,7,2,4,6.0,0,6.0,8.0,0.0,2.0,1.0,20,116,hot,tough,Kevin Durant
37.80035828132515,16.0,7,4.0,8,1,2,4.0,0,4.0,7.0,1.0,2.0,6.0,19,117,average,tough,Kevin Durant
37.86666121983392,13.0,2,10.0,9,1,9,15.802469135802468,2,13.802469135802468,0.0,1.0,6.869604725124944,1.0,28,118,average,normal,Kevin Durant
38.520083864043016,11.0,4,4.0,4,1,4,3.0,1,2.0,13.0,1.0,1.0,3.0,13,119,average,normal,Kevin Durant
39.554749036081425,16.0,1,4.0,8,1,4,2.0,0,2.0,1.0,2.0,6.869604725124944,0.0,21,120,average,normal,Kevin Durant
36.8759961427814,14.0,6,4.0,7,2,3,10.0,0,10.0,16.18443804034582,3.0,0.0,1.0,19,121,hot,tough,Kevin Durant
38.187280604059055,24.0,10,6.0,13,5,6,11.0,1,10.0,6.0,4.948453608247423,1.0,1.0,37,122,hot,normal,Kevin Durant
36.56248193341515,16.0,7,4.0,7,4,4,5.0,1,4.0,8.0,2.0,2.0,6.0,22,123,average,normal,Kevin Durant
41.721483065061996,31.268094962362476,7,15.78178275694106,15,3,13,4.0,1,3.0,7.0,3.0,0.0,8.0,46,124,average,easy,Kevin Durant
38.604767497112356,22.0,9,3.0,9,3,3,8.0,2,6.0,5.0,2.0,1.0,3.0,24,125,average,normal,Kevin Durant
42.061602154984975,16.0,7,4.0,9,1,4,4.0,2,2.0,0.0,0.0,5.0,3.0,23,126,average,normal,Kevin Durant
39.669745358190234,31.0,6,4.0,18,4,2,15.802469135802468,3,12.802469135802468,6.0,1.0,1.0,4.0,42,127,hot,normal,Kevin Durant
36.47823677074476,17.0,4,5.0,8,1,5,5.0,1,4.0,8.0,4.0,0.0,7.0,22,128,cold,normal,Kevin Durant
30.052151045722137,17.0,3,5.0,11,3,4,3.0,1,2.0,16.18443804034582,0.0,2.0,2.0,29,129,average,normal,Kevin Durant
33.5142182837528,15.0,6,6.0,8,3,5,11.0,1,10.0,5.0,0.0,0.0,0.0,24,130,average,tough,Kevin Durant
33.52390940495534,12.0,5,2.0,4,2,2,4.0,0,4.0,1.0,3.0,0.0,4.0,12,131,cold,easy,Kevin Durant
37.01376617208428,23.0,4,12.0,7,2,9,6.0,2,4.0,14.0,0.0,0.0,1.0,25,132,passive,easy,Kevin Durant
31.35595769139388,21.0,5,0.0,11,1,0,15.802469135802468,2,13.802469135802468,4.0,0.0,0.0,3.0,23,133,passive,easy,Kevin Durant
31.682747009096595,20.0,4,4.0,11,2,4,6.0,1,5.0,3.0,3.0,0.0,2.0,28,134,average,easy,Kevin Durant
24.85481899637353,21.0,1,0.0,13,1,0,0.0,0,0.0,3.0,0.0,0.0,2.0,27,135,hot,normal,Kevin Durant
38.97299334054652,23.0,5,8.0,9,2,7,9.0,3,6.0,10.0,0.0,0.0,7.0,27,136,average,normal,Kevin Durant
32.596004462005844,8.0,3,12.0,3,1,11,2.0,0,2.0,8.0,2.0,0.0,3.0,18,137,hot,normal,Kevin Durant
34.8123493630534,19.0,6,14.0,12,1,13,12.0,2,10.0,5.0,2.0,0.0,4.0,38,138,average,normal,Kevin Durant
31.94868566697858,15.0,5,4.0,11,0,4,3.0,1,2.0,5.0,1.0,0.0,0.0,26,139,average,easy,Kevin Durant
41.583124504767,11.0,5,12.0,4,3,12,8.0,1,7.0,7.0,0.0,2.0,4.0,23,140,average,tough,Kevin Durant
