Stat,hist_mean,hist_std,hist_min,hist_p25,hist_p50,hist_p75,hist_max,sim_mean,sim_std,sim_min,sim_p25,sim_p50,sim_p75,sim_max
pts,27.624137931034483,7.999141613654784,8.0,22.0,28.0,32.0,55.0,28.324,11.825341492016436,2.0,20.0,27.0,36.25,67.0
reb,6.755172413793104,2.935062611039883,0.0,5.0,6.5,9.0,16.0,6.739802469135802,4.3925539566601195,0.0,3.0,6.0,9.0,15.802469135802468
ast,5.572413793103448,2.705229659353102,0.0,4.0,5.0,7.0,16.0,5.886639769452449,4.238052814271959,0.0,3.0,5.0,8.0,16.18443804034582
stl,0.8068965517241379,0.878789287655916,0.0,0.0,1.0,1.0,4.0,1.1483505154639178,1.3335809497544997,0.0,0.0,1.0,2.0,4.948453608247423
blk,1.1689655172413793,1.0632598071459054,0.0,0.0,1.0,2.0,7.0,1.1476528850522492,1.4685545968977969,0.0,0.0,1.0,2.0,6.869604725124944
tov,3.2275862068965515,1.8536220134286356,0.0,2.0,3.0,4.0,8.0,4.025678321678321,3.1025128171197807,0.0,1.0,3.0,6.0,12.083916083916085
fgm,9.851724137931035,3.10631911920678,3.0,8.0,10.0,12.0,19.0,10.342,4.778986652717678,1.0,7.0,10.0,13.0,26.0
fga,18.617241379310343,5.542697990527609,3.0,15.0,19.0,22.0,37.0,19.15008569774175,6.827816758455088,2.0,14.0,19.0,24.0,31.268094962362476
fg3m,2.0620689655172413,1.3781321778862732,0.0,1.0,2.0,3.0,8.0,2.01,1.5959304458452896,0.0,1.0,2.0,3.0,8.0
fg3a,5.220689655172414,2.5245341905253262,0.0,3.0,5.0,7.0,15.0,4.94,2.399148145414803,0.0,3.0,5.0,6.0,13.0
ftm,5.858620689655172,3.398149022047304,0.0,3.0,6.0,8.0,16.0,5.63,4.363390694942804,0.0,2.0,4.0,8.0,15.0
fta,6.586206896551724,3.647222400309929,0.0,4.0,6.0,9.0,17.0,6.379559668777398,4.9336744341239545,0.0,3.0,4.0,10.0,15.78178275694106
minutes,35.7516091954023,5.1396637161118965,4.05,33.4625,36.775,38.795833333333334,50.15,35.19648303623725,4.567011324945408,18.59693045444203,32.94313870397451,35.61100874228721,38.27195095543633,46.132258066797355
