minutes,fga,fg3a,fta,fgm,fg3m,ftm,reb,oreb,dreb,ast,stl,blk,tov,pts,game_num,game_type,matchup_type,player_id
38.895866114389825,12.0,5,0.0,7,1,0,11.0,0,11.0,4.0,1.0,5.0,1.0,15,1,passive,normal,Kevin Durant
36.44032644818611,29.0,1,4.0,12,1,4,2.0,0,2.0,8.0,1.0,3.0,3.0,29,2,average,normal,Kevin Durant
33.586264390333184,19.0,4,14.0,9,1,12,5.0,2,3.0,2.0,4.948453608247423,2.0,5.0,31,3,average,normal,Kevin Durant
35.043076954646914,19.0,3,12.0,10,3,10,4.0,1,3.0,16.18443804034582,1.0,0.0,5.0,33,4,average,easy,Kevin Durant
41.205872920755,30.0,2,1.0,15,0,1,2.0,1,1.0,16.18443804034582,0.0,1.0,8.0,31,5,average,tough,Kevin Durant
35.36660852187012,24.0,3,2.0,10,1,2,1.0,0,1.0,1.0,0.0,0.0,4.0,23,6,average,normal,Kevin Durant
21.910381773472103,10.0,1,2.0,7,0,1,10.0,3,7.0,5.0,0.0,1.0,2.0,15,7,average,normal,Kevin Durant
36.947354698320616,14.0,6,0.0,8,2,0,1.0,0,1.0,11.0,3.0,0.0,6.0,18,8,average,normal,Kevin Durant
33.27769215441961,20.0,7,12.0,10,3,12,5.0,1,4.0,1.0,0.0,1.0,5.0,35,9,hot,normal,Kevin Durant
36.175603256055524,31.268094962362476,4,2.0,21,2,2,4.0,0,4.0,4.0,0.0,0.0,10.0,46,10,hot,easy,Kevin Durant
31.563579548351825,12.0,5,4.0,6,2,4,7.0,2,5.0,4.0,2.0,0.0,0.0,18,11,average,normal,Kevin Durant
40.9554568646718,31.268094962362476,12,12.0,15,5,10,12.0,2,10.0,4.0,3.0,0.0,8.0,45,12,hot,tough,Kevin Durant
39.07216405672352,20.0,8,8.0,11,4,8,12.0,3,9.0,7.0,3.0,3.0,3.0,34,13,hot,normal,Kevin Durant
31.32815530580321,10.0,4,2.0,6,1,2,8.0,2,6.0,3.0,1.0,0.0,4.0,15,14,average,normal,Kevin Durant
35.87574594493941,13.0,5,10.0,6,3,7,5.0,0,5.0,8.0,2.0,3.0,2.0,22,15,passive,normal,Kevin Durant
34.146923759961595,20.0,4,12.0,10,1,9,5.0,1,4.0,0.0,1.0,1.0,1.0,30,16,average,normal,Kevin Durant
34.14636912366534,17.0,7,10.0,10,2,8,7.0,0,7.0,8.0,0.0,1.0,6.0,30,17,hot,tough,Kevin Durant
35.15709829631378,22.0,4,8.0,15,2,6,12.0,4,8.0,5.0,1.0,0.0,2.0,38,18,hot,normal,Kevin Durant
31.660739867923112,31.0,4,4.0,11,1,4,5.0,1,4.0,11.0,0.0,0.0,3.0,27,19,average,easy,Kevin Durant
38.130732613450846,11.0,5,5.0,8,2,5,8.0,1,7.0,0.0,1.0,0.0,1.0,23,20,average,normal,Kevin Durant
38.77196643183647,25.0,11,2.0,13,6,2,4.0,0,4.0,8.0,0.0,2.0,2.0,34,21,hot,tough,Kevin Durant
37.669095472494426,21.0,6,15.78178275694106,10,3,13,0.0,0,0.0,4.0,1.0,0.0,0.0,36,22,average,easy,Kevin Durant
28.34786644866871,7.0,2,0.0,5,1,0,2.0,0,2.0,2.0,2.0,2.0,2.0,11,23,average,tough,Kevin Durant
24.93403146107165,5.0,2,4.0,3,1,4,13.0,6,7.0,2.0,1.0,0.0,3.0,11,24,average,tough,Kevin Durant
41.42473620169728,22.0,3,4.0,10,1,4,11.0,1,10.0,5.0,1.0,1.0,4.0,25,25,average,tough,Kevin Durant
36.25552879781345,24.0,5,12.0,12,1,11,5.0,1,4.0,4.0,3.0,3.0,0.0,36,26,average,normal,Kevin Durant
